카테고리,메뉴,가격,칼로리(Kcal)
버거 & 세트,더블 1955 버거,10300,807
버거 & 세트,더블 맥스파이시 상하이 버거,9700,759
버거 & 세트,맥스파이시 상하이 투움바 버거,8100,489
버거 & 세트,더블 쿼터파운더 치즈,8200,770
버거 & 세트,쿼터파운더 치즈,6300,536
버거 & 세트,맥스파이시 상하이 버거,6300,501
버거 & 세트,토마토 치즈 비프 버거,4600,403
버거 & 세트,맥크리스피 디럭스 버거,7600,614
버거 & 세트,맥크리스피 클래식 버거,6700,603
버거 & 세트,빅맥,6300,582
버거 & 세트,트리플 치즈버거,6700,640
버거 & 세트,1955 버거,7200,572
버거 & 세트,맥치킨 모짜렐라,5800,743
버거 & 세트,맥치킨,4300,523
버거 & 세트,더블 불고기 버거,5300,635
버거 & 세트,불고기 버거,4400,409
버거 & 세트,슈슈 버거,5500,409
버거 & 세트,슈비 버거,6600,540
버거 & 세트,베이컨 토마토 디럭스,6600,570
버거 & 세트,치즈버거,3800,318
버거 & 세트,더블 치즈버거,5600,479
버거 & 세트,햄버거,3400,266
스낵 & 사이드,고구마 후라이,3300,295
스낵 & 사이드,한입 초코 츄러스 - 3조각,3200,253
스낵 & 사이드,상하이 치킨 스낵랩,4300,303
스낵 & 사이드,코울슬로,2700,179
스낵 & 사이드,골든 모짜렐라 치즈스틱 4조각,5300,330
스낵 & 사이드,골든 모짜렐라 치즈스틱 2조각,3600,165
스낵 & 사이드,맥너겟 6조각,4700,244
스낵 & 사이드,맥너겟 4조각,3400,163
스낵 & 사이드,맥스파이시 치킨텐더 2조각,3500,197
스낵 & 사이드,후렌치 후라이,3300,324
스낵 & 사이드,디핑소스 추가 구매 - 스위트 앤 사워 소스,300,40
스낵 & 사이드,디핑소스 추가 구매 - 스위트 칠리 소스,300,52
스낵 & 사이드,디핑소스 추가 구매 - 케이준 소스,300,79
음료,망고 피치 아이스티,4100,216
음료,피치 아이스티,3600,162
음료,코카-콜라,2600,133
음료,코카-콜라 제로,2600,0
음료,스프라이트,2600,140 kcal
음료,환타,2600,62
음료,바닐라 라떼,4500,227
음료,카페라떼,4000,149
음료,카푸치노,4000,93
음료,아메리카노,3300,12
음료,드립 커피,2900,10
음료,아이스 바닐라 라떼,4500,186
음료,아이스 카페라떼 (시럽 없음),4000,108
음료,아이스 아메리카노 (시럽 없음),3300,9
음료,아이스 드립 커피 (시럽 없음),2900,10 kcal
음료,디카페인 바닐라 라떼,4700,227
음료,디카페인 카페라떼,4200,150
음료,디카페인 카푸치노,4200,89
음료,디카페인 아메리카노,3500,12
음료,디카페인 아이스 바닐라 라떼,4700,191
음료,디카페인 아이스 카페라떼 (시럽 없음),4200,114
음료,디카페인 아이스 아메리카노 (시럽 없음),3500,8
음료,바닐라 쉐이크,3500,366
음료,딸기 쉐이크,3500,367
음료,초코 쉐이크,3500,375
음료,생수,2000,0
디저트,한입 초코 츄러스 - 3조각,3200,253
디저트,오레오 맥플러리,4300,332
디저트,베리 스트로베리 맥플러리,4300,325
디저트,바닐라 쉐이크,3500,366
디저트,딸기 쉐이크,3500,367
디저트,초코 쉐이크,3500,375
해피밀,맥너겟 - 4조각,5800,228~675
해피밀,불고기 버거,5800,675
해피밀,치즈버거,5800,675
해피밀,햄버거,5800,675